x,y
2878,0.07699576
2882,0.075461655
2886,0.086345315
2890,0.106257011
2894,0.133357399
2898,0.167671581
2902,0.207338834
2906,0.248993585
2910,0.289533582
2914,0.327281107
2918,0.361705386
2922,0.39280398
2926,0.420514193
2930,0.444498297
2934,0.463690011
2938,0.476198659
2942,0.481631286
2946,0.478800418
2950,0.467814413
2954,0.44839947
2958,0.420739746
2962,0.385602307
2966,0.343790081
2970,0.296407209
2974,0.245174183
2978,0.191680877
2982,0.137678987
2986,0.085350937
2990,0.037834661
2994,0
2998,0
3002,0
3006,0
3010,0
3014,0
3018,0
3022,0
3026,0
3030,0
3034,0
3038,0.000533458
3042,0.001079071
3046,0.001308508
3050,0.001427896
3054,0.001586857
3058,0.001629903
3062,0.001556059
3066,0.001528861
3070,0.00165369
3074,0.001582754
3078,0.001590101
3082,0.0015742
3086,0.001549894
3090,0.001746766
3094,0.001946548
3098,0.001926235
3102,0.002030279
3106,0.00205328
3110,0.002099582
3114,0.002318614
3118,0.002437962
3122,0.002468123
3126,0.002592852
3130,0.002783801
3134,0.002659591
3138,0.002586563
3142,0.00244972
3146,0.002412141
3150,0.002224238
3154,0.002218637
3158,0.002107785
3162,0.002117313
3166,0.002138193
3170,0.002170451
3174,0.002081084
3178,0.001985194
3182,0.002040731
3186,0.002103151
3190,0.002036866
3194,0.002078328
3198,0.002135195
3202,0.002188604
3206,0.002133257
3210,0.002227722
3214,0.00217266
3218,0.002234678
3222,0.002259821
3226,0.002230094
3230,0.002328042
3234,0.002317906
3238,0.002222309
3242,0.002157877
3246,0.00205661
3250,0.001854524
3254,0.001603766
3258,0.001544307
3262,0.001378726
3266,0.001268681
3270,0.001193286
3274,0.001013263
3278,0.001188214
3282,0.001188302
3286,0.001472105
3290,0.001528597
3294,0.001507319
3298,0.001730912
3302,0.001796439
3306,0.001902645
3310,0.002090563
3314,0.002461244
3318,0.002542514
3322,0.00278572
3326,0.003105153
3330,0.003048856
3334,0.002992245
3338,0.003097145
